ID,GENDER,AGE,EDUC_LEV,MAR_STATUS,HH_SIZE,RATIO
132641,male,45,college graduate,married or lives with partner,2,5
132642,male,60,college graduate,married or lives with partner,2,
132645,female,31,HS graduate,married or lives with partner,6,0.73
132646,female,63,college graduate,married or lives with partner,2,
132647,male,35,college graduate,never married,1,5
132648,male,67,some college,married or lives with partner,3,5
132651,male,66,college graduate,married or lives with partner,2,2.59
132652,female,68,9 to 11th grade,married or lives with partner,2,1.13
132653,male,29,HS graduate,married or lives with partner,2,5
132654,female,54,college graduate,never married,1,3.83
132655,female,56,HS graduate,married or lives with partner,2,5
132656,female,46,college graduate,never married,1,
132659,male,57,some college,married or lives with partner,3,5
132661,male,63,less than 9th grade,married or lives with partner,3,2.39
132662,male,25,college graduate,never married,1,3.57
132663,female,60,less than 9th grade,married or lives with partner,5,1.31
132666,female,62,9 to 11th grade,married or lives with partner,2,
132667,female,32,HS graduate,never married,2,2.46
132669,male,35,college graduate,married or lives with partner,3,5
132671,female,38,some college,never married,3,1.37
132672,female,69,some college,widow or divorced or separated,1,4.42
132675,female,24,college graduate,never married,1,5
132677,female,72,some college,widow or divorced or separated,1,1.47
132678,male,65,college graduate,never married,1,
132679,female,53,college graduate,married or lives with partner,5,0.85
132683,male,70,HS graduate,married or lives with partner,3,2.04
132684,female,43,college graduate,married or lives with partner,6,2.12
132687,male,80,less than 9th grade,widow or divorced or separated,1,1.41
132689,female,79,HS graduate,married or lives with partner,2,
132690,female,51,college graduate,never married,3,1.32
132691,female,39,college graduate,married or lives with partner,4,0.47
132692,male,44,9 to 11th grade,widow or divorced or separated,2,2.16
132693,male,37,some college,married or lives with partner,4,
132696,female,50,9 to 11th grade,married or lives with partner,3,
132699,female,37,9 to 11th grade,never married,5,0.16
132703,female,63,,married or lives with partner,4,
132704,male,52,college graduate,widow or divorced or separated,2,5
132706,female,21,HS graduate,never married,4,5
132709,male,39,9 to 11th grade,never married,2,4.1
132710,female,24,HS graduate,widow or divorced or separated,2,3
132711,male,60,HS graduate,married or lives with partner,3,1.61
132712,female,77,some college,widow or divorced or separated,1,1.61
132715,male,36,college graduate,married or lives with partner,4,5
132720,female,37,college graduate,married or lives with partner,3,2.96
132721,male,33,some college,widow or divorced or separated,5,1.1
132722,male,45,HS graduate,widow or divorced or separated,3,2.71
132723,male,35,college graduate,married or lives with partner,3,5
132725,male,44,HS graduate,never married,1,5
132726,male,72,9 to 11th grade,married or lives with partner,2,1.61
132727,female,66,college graduate,married or lives with partner,2,1.23
132728,female,58,college graduate,widow or divorced or separated,1,4.05
132729,male,60,HS graduate,married or lives with partner,2,2.79
132730,female,68,some college,widow or divorced or separated,1,1.55
132733,female,44,college graduate,married or lives with partner,3,1.85
132738,male,64,9 to 11th grade,widow or divorced or separated,1,0.12
132739,male,63,some college,married or lives with partner,3,5
132740,male,71,some college,married or lives with partner,3,2.82
132741,female,70,college graduate,widow or divorced or separated,1,0.96
132744,male,75,some college,widow or divorced or separated,7,1.16
132745,female,75,some college,married or lives with partner,2,2.18
132746,female,71,college graduate,married or lives with partner,2,5
132748,male,23,some college,married or lives with partner,5,0.79
132749,female,35,college graduate,never married,1,2.21
132750,female,35,college graduate,married or lives with partner,4,2.34
132751,female,80,HS graduate,widow or divorced or separated,3,
132754,female,52,college graduate,married or lives with partner,4,3.42
132755,female,57,HS graduate,married or lives with partner,3,2.17
132756,male,58,HS graduate,married or lives with partner,6,3.76
132757,female,61,college graduate,married or lives with partner,2,3.16
132758,female,33,HS graduate,never married,3,0.84
132760,male,60,some college,widow or divorced or separated,1,0.83
132761,female,45,9 to 11th grade,widow or divorced or separated,1,
132762,female,61,some college,never married,3,0.62
132763,male,31,college graduate,married or lives with partner,2,5
132765,male,70,less than 9th grade,married or lives with partner,3,0.78
132768,female,54,9 to 11th grade,widow or divorced or separated,6,
132769,male,68,some college,married or lives with partner,2,
132770,female,76,some college,widow or divorced or separated,1,4.97
132771,male,64,9 to 11th grade,never married,1,0.88
132775,female,46,9 to 11th grade,widow or divorced or separated,2,0.15
132777,female,65,HS graduate,married or lives with partner,2,5
132779,female,23,college graduate,never married,1,3.31
132780,female,70,some college,married or lives with partner,2,5
132782,female,79,some college,widow or divorced or separated,1,5
132783,female,73,some college,widow or divorced or separated,1,
132784,female,75,college graduate,married or lives with partner,2,5
132785,female,27,some college,married or lives with partner,5,2
132786,male,74,some college,widow or divorced or separated,2,
132787,male,38,some college,married or lives with partner,4,3.58
132788,male,41,HS graduate,widow or divorced or separated,3,
132789,female,58,some college,never married,3,0.69
132791,male,61,college graduate,married or lives with partner,2,4.02
132793,male,68,HS graduate,married or lives with partner,4,1.6
132795,female,62,HS graduate,widow or divorced or separated,4,1.44
132797,male,70,some college,married or lives with partner,2,1.31
132801,male,35,HS graduate,never married,1,
132802,male,64,some college,married or lives with partner,2,4.92
132803,male,57,college graduate,widow or divorced or separated,1,
132804,female,70,college graduate,married or lives with partner,2,5
132805,female,39,some college,widow or divorced or separated,3,0.65
132807,female,38,college graduate,never married,1,5
132808,male,73,college graduate,married or lives with partner,2,
132809,male,51,college graduate,married or lives with partner,4,4.68
132810,female,48,college graduate,married or lives with partner,4,5
132811,female,80,less than 9th grade,widow or divorced or separated,3,3.47
132812,female,35,college graduate,married or lives with partner,4,3.42
132814,female,64,some college,married or lives with partner,2,5
132815,male,30,some college,married or lives with partner,2,4.97
132816,male,37,college graduate,widow or divorced or separated,2,5
132817,female,54,college graduate,never married,1,5
132818,female,30,some college,married or lives with partner,7,0.17
132819,male,79,college graduate,married or lives with partner,2,4.92
132820,male,73,HS graduate,widow or divorced or separated,3,3.68
132825,male,39,HS graduate,married or lives with partner,6,
132827,male,68,some college,married or lives with partner,2,2.03
132828,female,30,college graduate,married or lives with partner,4,
132829,male,73,college graduate,never married,1,5
132832,female,47,college graduate,never married,3,1.16
132835,female,76,college graduate,married or lives with partner,2,4.51
132836,female,51,9 to 11th grade,married or lives with partner,4,1.26
132837,male,60,HS graduate,widow or divorced or separated,5,5
132838,female,39,some college,married or lives with partner,2,5
132839,male,27,some college,married or lives with partner,7,0.57
132840,male,65,HS graduate,married or lives with partner,2,4.06
132841,female,57,some college,married or lives with partner,2,1.23
132842,male,54,HS graduate,married or lives with partner,4,3.87
132846,female,68,HS graduate,widow or divorced or separated,3,0.08
132847,female,74,less than 9th grade,widow or divorced or separated,1,1.48
132848,female,74,some college,widow or divorced or separated,1,2.21
132849,female,80,some college,married or lives with partner,2,
132850,female,34,some college,widow or divorced or separated,6,0.88
132851,female,43,some college,never married,2,3.55
132856,female,80,HS graduate,widow or divorced or separated,3,
132858,male,73,college graduate,married or lives with partner,2,5
132862,male,31,college graduate,never married,1,5
132864,female,57,college graduate,married or lives with partner,2,2.46
132865,male,72,some college,married or lives with partner,2,
132866,female,32,some college,never married,3,1.3
132868,female,69,HS graduate,widow or divorced or separated,7,1.46
132869,male,70,some college,married or lives with partner,2,3.55
132870,male,71,some college,married or lives with partner,2,1.44
132872,female,26,HS graduate,married or lives with partner,3,1.48
132873,male,61,HS graduate,married or lives with partner,2,
132875,male,71,college graduate,never married,1,3.61
132876,male,32,college graduate,married or lives with partner,2,5
132877,male,79,less than 9th grade,married or lives with partner,2,1.12
132878,male,30,college graduate,never married,1,5
132881,female,65,some college,married or lives with partner,2,5
132883,female,22,college graduate,never married,2,
132884,male,72,9 to 11th grade,married or lives with partner,2,5
132885,male,61,less than 9th grade,widow or divorced or separated,2,0.62
132889,female,79,some college,widow or divorced or separated,2,
132891,female,32,college graduate,married or lives with partner,4,5
132892,female,68,less than 9th grade,married or lives with partner,1,
132893,male,67,HS graduate,married or lives with partner,3,
132895,male,64,less than 9th grade,married or lives with partner,3,
132896,male,76,HS graduate,married or lives with partner,2,
132898,male,63,9 to 11th grade,never married,2,
132899,male,55,HS graduate,married or lives with partner,3,4.02
132900,male,77,some college,married or lives with partner,2,5
132901,male,44,9 to 11th grade,never married,5,
132902,female,46,some college,widow or divorced or separated,2,3.3
132903,male,51,some college,never married,1,1.47
132904,female,80,HS graduate,married or lives with partner,2,2.43
132905,female,56,some college,married or lives with partner,3,2.51
132906,female,80,HS graduate,married or lives with partner,2,
132907,male,65,college graduate,married or lives with partner,2,5
132908,female,39,college graduate,married or lives with partner,2,5
132909,female,23,HS graduate,never married,2,
132910,female,39,less than 9th grade,married or lives with partner,3,0.89
132911,male,76,HS graduate,married or lives with partner,2,2.78
132913,female,59,college graduate,widow or divorced or separated,1,5
132914,female,43,9 to 11th grade,married or lives with partner,5,1.23
132916,female,62,college graduate,married or lives with partner,2,5
132918,female,46,some college,married or lives with partner,2,4.48
132920,female,24,9 to 11th grade,never married,6,0.52
132921,male,31,college graduate,married or lives with partner,2,5
132922,female,79,9 to 11th grade,widow or divorced or separated,3,0.16
132924,male,80,college graduate,married or lives with partner,2,1.84
132926,female,65,some college,married or lives with partner,2,5
132927,male,65,some college,never married,1,0.31
132928,male,80,some college,widow or divorced or separated,1,1.47
132929,female,72,HS graduate,widow or divorced or separated,1,1.65
132931,male,37,some college,married or lives with partner,3,5
132932,female,54,some college,married or lives with partner,2,3.94
132933,male,63,HS graduate,married or lives with partner,2,3.55
132934,male,71,less than 9th grade,married or lives with partner,5,
132936,female,21,some college,married or lives with partner,2,0.74
132937,female,80,less than 9th grade,widow or divorced or separated,1,2.58
132938,male,58,some college,married or lives with partner,2,5
132939,female,64,college graduate,married or lives with partner,2,5
132941,female,58,HS graduate,married or lives with partner,4,1.6
132942,male,31,some college,never married,2,2.07
132943,female,58,some college,widow or divorced or separated,1,2.11
132945,male,65,some college,never married,1,5
132946,female,42,,,2,
132947,male,29,some college,never married,1,3.31
132948,female,75,college graduate,widow or divorced or separated,2,5
132950,male,24,some college,never married,4,2.83
132952,female,35,college graduate,married or lives with partner,4,3.42
132953,male,80,9 to 11th grade,widow or divorced or separated,2,2.48
132956,female,54,HS graduate,never married,2,5.40E-79
132958,female,70,college graduate,widow or divorced or separated,1,4.12
132959,male,56,college graduate,married or lives with partner,6,2.15
132960,female,67,college graduate,married or lives with partner,3,3.19
132961,female,75,some college,widow or divorced or separated,1,1.77
132962,female,65,HS graduate,never married,1,2.06
132963,female,69,college graduate,never married,4,
132964,female,58,college graduate,married or lives with partner,3,5
132965,female,64,college graduate,married or lives with partner,4,2.33
132970,female,40,college graduate,married or lives with partner,4,4
132971,female,39,college graduate,widow or divorced or separated,2,2.54
132972,female,47,college graduate,never married,3,
132973,female,80,college graduate,widow or divorced or separated,5,2.92
132976,male,62,HS graduate,married or lives with partner,3,
132977,female,58,college graduate,never married,1,5
132978,male,23,college graduate,never married,1,5
132979,male,63,college graduate,married or lives with partner,2,4.56
132980,male,22,9 to 11th grade,never married,7,0.01
132982,male,71,college graduate,widow or divorced or separated,4,
132983,female,38,HS graduate,married or lives with partner,4,0.14
132984,male,64,9 to 11th grade,widow or divorced or separated,1,1.4
132986,female,80,HS graduate,widow or divorced or separated,3,0.65
132990,female,60,college graduate,married or lives with partner,4,3.42
132991,female,64,HS graduate,widow or divorced or separated,2,3
132992,female,74,some college,married or lives with partner,2,1.37
132993,female,61,college graduate,married or lives with partner,2,5
132994,female,65,college graduate,widow or divorced or separated,1,2.61
132995,female,66,HS graduate,widow or divorced or separated,3,
132996,male,51,some college,married or lives with partner,5,2.16
132998,male,66,less than 9th grade,widow or divorced or separated,2,0.41
133002,male,28,HS graduate,married or lives with partner,4,0.87
133003,male,77,some college,married or lives with partner,2,2.36
133004,male,73,college graduate,married or lives with partner,2,
133005,female,75,some college,married or lives with partner,2,1.75
133009,male,26,college graduate,never married,1,5
133010,female,64,some college,married or lives with partner,2,1.47
133012,female,52,college graduate,married or lives with partner,4,
133013,female,23,some college,never married,3,1.74
133015,female,28,college graduate,never married,1,4.19
133018,female,71,less than 9th grade,married or lives with partner,7,5.40E-79
133019,female,64,9 to 11th grade,never married,1,
133020,female,67,some college,widow or divorced or separated,1,2.8
133021,female,41,9 to 11th grade,married or lives with partner,6,
133022,male,42,some college,never married,2,5
133023,female,56,some college,never married,1,5
133024,female,69,college graduate,never married,1,3.31
133025,male,65,9 to 11th grade,married or lives with partner,2,4.18
133027,male,36,college graduate,never married,1,5
133028,female,79,HS graduate,widow or divorced or separated,1,5
133030,female,63,college graduate,married or lives with partner,2,
133031,female,66,HS graduate,married or lives with partner,2,4.06
133032,female,68,some college,widow or divorced or separated,1,
133033,female,58,college graduate,married or lives with partner,2,5
133035,female,29,some college,married or lives with partner,4,3.24
133038,female,60,college graduate,widow or divorced or separated,1,
133039,male,40,some college,never married,3,2.17
133041,female,42,some college,widow or divorced or separated,5,0.48
133042,male,68,HS graduate,widow or divorced or separated,1,5
133044,female,25,some college,never married,4,1.44
133046,female,23,some college,never married,3,1.3
133047,male,80,,,2,
133049,female,75,some college,married or lives with partner,2,1.71
133050,male,80,HS graduate,married or lives with partner,5,
133051,female,40,less than 9th grade,married or lives with partner,4,
133053,male,70,HS graduate,never married,1,2.06
133055,male,26,some college,never married,1,5
133056,female,60,college graduate,married or lives with partner,2,5
133057,female,62,HS graduate,widow or divorced or separated,2,
133058,female,38,HS graduate,married or lives with partner,4,
133059,male,63,some college,never married,1,
133060,male,57,college graduate,married or lives with partner,2,3
133064,female,80,9 to 11th grade,widow or divorced or separated,1,0.82
133065,male,59,some college,married or lives with partner,2,
133066,female,70,some college,married or lives with partner,2,3.71
133068,female,68,college graduate,widow or divorced or separated,1,0.82
133069,female,70,9 to 11th grade,widow or divorced or separated,6,1.94
133071,female,67,some college,married or lives with partner,2,3.04
133074,female,66,HS graduate,married or lives with partner,4,2.07
133076,male,59,HS graduate,widow or divorced or separated,3,0.91
133077,male,69,some college,married or lives with partner,2,5
133078,male,63,college graduate,widow or divorced or separated,1,4.66
133080,male,38,college graduate,married or lives with partner,4,5
133081,male,76,some college,married or lives with partner,5,4.88
133082,female,37,college graduate,married or lives with partner,4,2.83
133083,male,78,less than 9th grade,married or lives with partner,6,1.49
133084,male,63,college graduate,widow or divorced or separated,2,
133085,male,21,HS graduate,never married,2,
133087,female,69,some college,married or lives with partner,2,5
133089,female,39,college graduate,married or lives with partner,4,1.77
133090,male,77,college graduate,married or lives with partner,2,5
133091,female,80,college graduate,widow or divorced or separated,1,4.73
133092,male,67,HS graduate,married or lives with partner,3,3.12
133093,female,61,college graduate,never married,1,5
133095,female,54,HS graduate,married or lives with partner,2,3.68
133096,male,69,college graduate,widow or divorced or separated,1,5
133097,female,80,some college,widow or divorced or separated,1,0.95
133098,male,71,college graduate,never married,1,2.21
133099,female,65,9 to 11th grade,married or lives with partner,2,1.12
133100,female,63,some college,widow or divorced or separated,1,1.77
133101,male,45,some college,widow or divorced or separated,3,1.52
133104,female,62,some college,married or lives with partner,5,1.13
133106,female,66,HS graduate,widow or divorced or separated,2,4.95
133108,male,45,college graduate,married or lives with partner,3,2.82
133109,female,69,HS graduate,married or lives with partner,2,2.21
133111,female,61,HS graduate,married or lives with partner,6,2.98
133112,male,37,college graduate,married or lives with partner,1,5
133113,female,37,HS graduate,never married,3,
133114,male,69,HS graduate,widow or divorced or separated,3,2.31
133115,female,43,college graduate,married or lives with partner,4,5
133116,male,53,college graduate,widow or divorced or separated,2,
133120,female,28,some college,married or lives with partner,5,3.41
133122,male,64,college graduate,never married,2,5
133123,male,80,some college,married or lives with partner,2,4.97
133125,male,40,college graduate,married or lives with partner,4,5
133127,female,21,HS graduate,never married,4,5
133129,female,80,college graduate,married or lives with partner,2,0.69
133130,female,61,some college,married or lives with partner,3,
133131,female,55,HS graduate,married or lives with partner,4,5
133133,male,32,college graduate,never married,1,
133134,male,28,some college,never married,1,2.19
133135,male,61,HS graduate,widow or divorced or separated,2,0.03
133136,male,34,college graduate,married or lives with partner,5,2.92
133137,male,57,some college,widow or divorced or separated,1,
133139,male,80,some college,married or lives with partner,2,2.87
133140,female,52,college graduate,widow or divorced or separated,2,4.56
133141,male,55,some college,married or lives with partner,2,5
133143,female,31,less than 9th grade,married or lives with partner,6,0.58
133144,male,46,college graduate,married or lives with partner,4,5
133146,male,68,college graduate,married or lives with partner,2,5
133147,female,67,some college,widow or divorced or separated,1,2.19
133149,male,55,some college,never married,1,4.8
133150,female,24,HS graduate,never married,3,4.34
133151,female,80,HS graduate,widow or divorced or separated,3,5
133153,male,24,HS graduate,never married,1,2.94
133154,male,72,college graduate,married or lives with partner,2,
133156,male,71,HS graduate,widow or divorced or separated,1,0.75
133158,female,78,HS graduate,married or lives with partner,2,
133159,female,63,some college,married or lives with partner,4,3.69
133160,male,75,college graduate,married or lives with partner,2,5
133161,female,51,HS graduate,married or lives with partner,3,
133162,male,34,HS graduate,married or lives with partner,5,
133165,female,61,some college,widow or divorced or separated,2,5
133166,male,33,some college,married or lives with partner,3,
133167,male,43,some college,married or lives with partner,4,3.96
133169,female,48,college graduate,never married,1,5
133170,female,67,some college,married or lives with partner,2,4.56
133171,male,55,college graduate,married or lives with partner,3,5
133172,male,60,9 to 11th grade,never married,7,0.57
133174,male,39,college graduate,never married,4,
133177,male,63,HS graduate,married or lives with partner,5,1.03
133178,female,80,some college,married or lives with partner,2,4.92
133179,male,45,HS graduate,married or lives with partner,4,2
133181,female,33,some college,never married,4,3.47
133182,male,37,college graduate,never married,4,
133183,female,66,9 to 11th grade,never married,1,0.77
133184,male,56,9 to 11th grade,widow or divorced or separated,1,1.51
133185,male,69,some college,married or lives with partner,2,4.37
133187,female,48,HS graduate,married or lives with partner,4,0.35
133188,female,80,HS graduate,married or lives with partner,2,1.5
133191,female,58,HS graduate,married or lives with partner,2,3.3
133192,female,68,some college,married or lives with partner,5,5
133193,male,70,9 to 11th grade,married or lives with partner,4,1.62
133194,female,32,college graduate,never married,3,2.61
133195,male,33,some college,widow or divorced or separated,1,1.17
133199,male,36,college graduate,never married,1,
133200,female,62,some college,married or lives with partner,4,
133202,male,30,college graduate,never married,6,2.06
133206,female,69,college graduate,married or lives with partner,2,3.39
133207,male,66,HS graduate,widow or divorced or separated,1,3.57
133208,male,57,some college,married or lives with partner,3,5
133209,female,66,college graduate,married or lives with partner,2,5
133210,male,40,college graduate,married or lives with partner,5,
133211,male,58,college graduate,never married,1,5
133212,female,58,college graduate,never married,1,0.66
133213,male,80,college graduate,married or lives with partner,2,2.73
133215,male,76,college graduate,married or lives with partner,2,5
133216,female,51,some college,married or lives with partner,2,5
133218,male,65,some college,married or lives with partner,2,2.62
133221,male,74,some college,widow or divorced or separated,5,3.06
133222,female,46,HS graduate,married or lives with partner,6,
133223,female,32,9 to 11th grade,married or lives with partner,5,
133224,female,73,9 to 11th grade,married or lives with partner,2,
133225,female,58,9 to 11th grade,widow or divorced or separated,1,0.74
133229,female,32,college graduate,never married,2,
133230,male,44,9 to 11th grade,married or lives with partner,3,3.15
133233,female,65,9 to 11th grade,married or lives with partner,4,0.88
133234,female,38,college graduate,married or lives with partner,4,5
133235,male,36,HS graduate,married or lives with partner,3,2.17
133236,male,60,college graduate,married or lives with partner,3,3.02
133240,male,35,HS graduate,never married,3,
133243,female,44,college graduate,married or lives with partner,4,5
133246,female,62,college graduate,married or lives with partner,2,4.56
133247,male,78,some college,widow or divorced or separated,1,4.46
133249,male,41,some college,widow or divorced or separated,1,0.72
133250,female,57,some college,widow or divorced or separated,2,0.99
133251,male,68,HS graduate,married or lives with partner,2,
133252,male,39,HS graduate,married or lives with partner,7,5.40E-79
133255,male,52,college graduate,married or lives with partner,4,5
133257,male,39,college graduate,never married,1,5
133261,female,79,HS graduate,widow or divorced or separated,1,2.58
133262,female,21,some college,never married,4,0.37
133263,male,34,HS graduate,married or lives with partner,4,1.6
133264,female,29,HS graduate,widow or divorced or separated,2,
133265,male,55,some college,married or lives with partner,3,5
133266,male,62,some college,widow or divorced or separated,2,1.1
133270,male,60,some college,never married,2,
133271,female,80,college graduate,married or lives with partner,4,2.16
133273,female,59,HS graduate,widow or divorced or separated,2,1.92
133275,male,62,HS graduate,married or lives with partner,3,
133277,female,60,college graduate,married or lives with partner,2,5
133278,female,80,less than 9th grade,widow or divorced or separated,1,0.81
133279,male,54,HS graduate,married or lives with partner,2,0.49
133283,female,73,college graduate,married or lives with partner,2,5
133284,female,36,some college,widow or divorced or separated,3,2.41
133287,male,71,college graduate,never married,1,3.43
133289,female,28,some college,married or lives with partner,6,1.37
133290,female,69,some college,widow or divorced or separated,1,0.81
133291,male,68,college graduate,married or lives with partner,2,5
133292,male,71,some college,married or lives with partner,2,4.06
133293,male,68,some college,widow or divorced or separated,1,
133296,male,80,9 to 11th grade,married or lives with partner,2,3.04
133298,female,42,college graduate,married or lives with partner,4,5
133299,female,57,9 to 11th grade,widow or divorced or separated,1,0.4
133300,male,54,college graduate,married or lives with partner,2,5
133302,female,66,HS graduate,married or lives with partner,4,5
133303,female,71,HS graduate,married or lives with partner,2,5
133304,female,33,college graduate,widow or divorced or separated,1,
133305,female,39,college graduate,never married,1,4.46
133307,female,58,9 to 11th grade,widow or divorced or separated,4,
133310,female,63,some college,widow or divorced or separated,1,1.86
133311,male,40,college graduate,never married,1,5
133314,male,34,9 to 11th grade,never married,3,
133315,male,76,college graduate,married or lives with partner,2,5
133316,female,61,less than 9th grade,married or lives with partner,2,4.92
133317,male,41,college graduate,married or lives with partner,3,5
133318,male,63,some college,married or lives with partner,5,2.85
133320,male,47,college graduate,married or lives with partner,4,5
133321,female,53,some college,married or lives with partner,2,4.82
133322,female,80,9 to 11th grade,widow or divorced or separated,3,
133324,female,63,some college,married or lives with partner,2,3.82
133325,male,40,college graduate,married or lives with partner,4,5
133326,female,78,HS graduate,widow or divorced or separated,1,1.34
133328,female,61,9 to 11th grade,never married,1,0.88
133329,male,55,college graduate,widow or divorced or separated,1,5
133331,female,43,some college,widow or divorced or separated,2,3
133332,male,40,HS graduate,widow or divorced or separated,4,1.2
133334,male,75,some college,married or lives with partner,2,5
133336,female,63,some college,married or lives with partner,2,5
133337,female,49,some college,married or lives with partner,3,5
133338,male,42,9 to 11th grade,married or lives with partner,3,0.82
133340,female,80,college graduate,never married,1,4.05
133342,female,46,HS graduate,widow or divorced or separated,2,1.15
133343,male,59,HS graduate,married or lives with partner,2,3.55
133344,female,73,some college,married or lives with partner,2,2.58
133346,female,51,some college,married or lives with partner,5,3.16
133347,male,66,9 to 11th grade,never married,1,
133348,male,47,some college,married or lives with partner,2,2.62
133349,female,80,,widow or divorced or separated,5,
133350,male,67,some college,married or lives with partner,2,5
133352,male,22,HS graduate,never married,4,5
133354,female,79,HS graduate,widow or divorced or separated,2,1.14
133356,female,77,college graduate,married or lives with partner,2,2.36
133357,male,77,college graduate,married or lives with partner,2,
133358,female,80,some college,widow or divorced or separated,1,0.76
133360,female,55,college graduate,widow or divorced or separated,1,5
133361,female,41,HS graduate,married or lives with partner,4,1.91
133362,male,77,9 to 11th grade,widow or divorced or separated,1,1.14
133366,female,69,HS graduate,widow or divorced or separated,2,3.28
133367,male,67,HS graduate,married or lives with partner,2,0.8
133369,female,63,college graduate,never married,3,5
133370,female,26,college graduate,never married,3,2.21
133371,female,78,HS graduate,widow or divorced or separated,4,2.61
133373,female,24,college graduate,married or lives with partner,3,
133374,male,80,some college,widow or divorced or separated,1,5
133377,female,79,,widow or divorced or separated,1,0.1
133379,female,71,HS graduate,widow or divorced or separated,1,2.57
133380,female,69,college graduate,married or lives with partner,2,5
133381,male,60,college graduate,married or lives with partner,3,5
133382,female,66,HS graduate,married or lives with partner,2,1.88
133384,female,65,some college,married or lives with partner,2,
133385,male,27,9 to 11th grade,never married,4,
133386,female,58,9 to 11th grade,never married,1,0.69
133388,male,32,some college,never married,1,3.67
133389,male,70,some college,married or lives with partner,2,2.71
133390,female,49,college graduate,married or lives with partner,4,4.33
133393,male,45,college graduate,married or lives with partner,4,5
133394,female,62,less than 9th grade,married or lives with partner,2,1.09
133395,female,57,some college,never married,1,3.43
133396,female,48,less than 9th grade,married or lives with partner,3,5
133397,male,80,9 to 11th grade,married or lives with partner,2,
133399,female,58,some college,widow or divorced or separated,1,4.78
133401,male,59,college graduate,married or lives with partner,2,5
133402,female,51,less than 9th grade,married or lives with partner,5,0.46
133406,female,39,college graduate,married or lives with partner,2,5
133412,female,68,HS graduate,widow or divorced or separated,3,1.01
133414,female,45,college graduate,married or lives with partner,2,5
133418,female,36,college graduate,married or lives with partner,3,5
133419,male,43,some college,never married,1,
133421,female,29,college graduate,married or lives with partner,6,5
133422,male,37,HS graduate,never married,2,5.40E-79
133425,male,31,9 to 11th grade,never married,1,2.74
133426,female,43,some college,never married,4,3.42
133427,female,43,HS graduate,married or lives with partner,3,2.09
133428,female,71,HS graduate,widow or divorced or separated,3,1.32
133429,female,38,HS graduate,married or lives with partner,6,1.34
133430,female,74,college graduate,married or lives with partner,2,
133434,female,30,some college,never married,3,
133435,female,54,some college,married or lives with partner,2,5
133436,female,37,HS graduate,never married,1,3.11
133438,male,32,9 to 11th grade,married or lives with partner,4,1.73
133439,female,43,some college,married or lives with partner,2,5
133440,male,43,college graduate,never married,1,4.46
133441,female,49,college graduate,widow or divorced or separated,4,3.45
133445,female,58,9 to 11th grade,never married,3,2.03
133446,male,31,some college,married or lives with partner,6,
133447,female,80,9 to 11th grade,widow or divorced or separated,1,1.85
133448,male,56,HS graduate,married or lives with partner,2,5
133450,female,73,college graduate,married or lives with partner,2,4.64
133451,male,48,college graduate,widow or divorced or separated,1,4.04
133453,male,43,some college,married or lives with partner,5,4.9
133454,male,37,HS graduate,married or lives with partner,5,0.89
133455,female,23,college graduate,married or lives with partner,2,5
133457,female,39,HS graduate,married or lives with partner,4,0.76
133459,male,77,less than 9th grade,married or lives with partner,7,5.40E-79
133461,female,67,some college,married or lives with partner,2,4.31
133462,female,48,some college,widow or divorced or separated,2,5
133465,female,68,HS graduate,married or lives with partner,2,2.03
133467,male,80,college graduate,married or lives with partner,2,4.64
133468,female,65,9 to 11th grade,widow or divorced or separated,6,1.34
133470,female,35,college graduate,married or lives with partner,6,3.34
133472,female,80,some college,widow or divorced or separated,1,5
133474,female,65,some college,married or lives with partner,2,3.77
133475,male,23,9 to 11th grade,never married,2,0.08
133476,female,55,less than 9th grade,married or lives with partner,4,2.15
133478,female,80,some college,widow or divorced or separated,1,1.25
133479,male,50,HS graduate,married or lives with partner,4,1.83
133480,male,50,some college,never married,2,3.04
133481,male,29,college graduate,married or lives with partner,3,
133482,male,76,college graduate,widow or divorced or separated,2,1.31
133484,male,74,some college,married or lives with partner,2,3.55
133485,male,33,HS graduate,never married,3,0.78
133487,male,77,college graduate,married or lives with partner,2,
133489,female,54,college graduate,widow or divorced or separated,2,5
133490,male,64,HS graduate,married or lives with partner,3,
133491,female,68,some college,widow or divorced or separated,2,1.55
133492,male,45,college graduate,widow or divorced or separated,1,5
133493,female,38,some college,never married,3,2.01
133494,female,43,college graduate,married or lives with partner,5,5
133495,female,22,some college,married or lives with partner,7,1.85
133496,male,25,college graduate,never married,2,5
133497,male,77,9 to 11th grade,widow or divorced or separated,2,0.69
133500,female,24,HS graduate,never married,1,0.03
133502,male,80,9 to 11th grade,widow or divorced or separated,2,
133504,male,45,HS graduate,married or lives with partner,5,0.43
133506,male,79,college graduate,widow or divorced or separated,1,5
133508,male,50,HS graduate,married or lives with partner,6,
133509,male,34,college graduate,married or lives with partner,4,5
133510,male,22,some college,never married,1,0.58
133511,female,62,HS graduate,married or lives with partner,2,5
133512,male,49,less than 9th grade,widow or divorced or separated,3,
133513,female,71,9 to 11th grade,married or lives with partner,2,1.86
133514,female,70,college graduate,married or lives with partner,1,
133515,male,52,college graduate,married or lives with partner,3,5
133517,female,73,some college,widow or divorced or separated,1,1.4
133518,male,72,some college,married or lives with partner,3,3.19
133520,female,30,college graduate,married or lives with partner,2,5
133522,male,80,less than 9th grade,married or lives with partner,7,1.19
